레시피명,재료,재료목록
둥지튀김,"닭고기살(150g), 소금(0.3g), 후춧가루(0.2g), 달걀(50g)
녹말가루(20g), 백년초국수(20g), 뽕잎국수(20g)
치자국수(20g), 튀김기름(400g)
- 소스 : 레몬(10g), 설탕(20g), 연유(10g), 물(50g)
다진 마늘(10g), 생강(5g), 식초(20g), 녹말가루(20g)","['튀김기름', '생강', '달걀', '레몬', '후춧가루', '다진마늘', '소금', '식초', '설탕', '연유', '뽕잎국수', '녹말가루', '치자국수', '백년초국수', '닭고기살']"
새우와스테이크,"새우(60g), 버터(10g), 소고기(120g), 로즈마리(2g)
소금(0.3g), 후춧가루(2g)
- 소스 : 와인(50g), 설탕(20g), 당근(20g), 양파(20g)
토마토(30g), 마늘(20g), 대파(10g), 발사믹소스(20g)
- 곁들임채소 : 아스파라거스(20g), 브로컬리(20g)
새송이(20g), 가지(30g)","['아스파라거스', '당근', '양파', '버터', '새송이', '후춧가루', '와인', '로즈마리', '소금', '마늘', '가지', '새우', '설탕', '소고기', '토마토', '대파', '브로컬리']"
함초삼겹,"통삼겹살(150g), 함초가루(10g), 소금(0.5g), 후춧가루(0.2g)
부추(30g), 버터(5g)
- 소스 : 유자청(20g), 쌈장(10g), 설탕(20g), 생크림(20g)
연두부(30g), 양파(20g), 당근(20g)","['양파', '당근', '버터', '쌈장', '통삼겹살', '부추', '후춧가루', '유자청', '연두부', '소금', '설탕', '생크림', '함초가루']"
햄버거스테이크,"다진 돼지고기(60g), 다진 소고기(60g), 다진 마늘(10g)
로즈마리(2g), 빵가루(20g), 후춧가루(0.2g), 파프리카(20g)
- 소스 : 양파(20g), 플레인요거트(20g), 설탕(10g)
매실액(10g), 식초(5g), 녹말가루(10g)
- 곁들임채소 : 어린잎(5g)","['양파', '다진돼지고기', '다진마늘', '빵가루', '후춧가루', '녹말가루', '로즈마리', '매실액', '다진소고기', '설탕', '어린잎', '파프리카', '플레인요거트', '식초']"
유자삼치구이,"삼치(150g), 소금(0.3g), 녹말(20g), 식용유(10g),
- 소스 : 생강(10g), 유자청(50g), 레몬(20g)","['녹말', '생강', '레몬', '식용유', '소금', '삼치', '유자청']"
냉토마토파스타,"토마토(50g), 브로컬리(20g), 펜네(100g), 올리브오일(10g)
후춧가루(0.1g)
- 소스 : 마늘(10g), 양파(20g), 당근(20g), 방울토마토(50g)
올리브오일(10g), 육수(400g), 설탕(10g)
소금(0.3g), 레몬즙(10g), 월계수잎(1장)","['양파', '당근', '펜네', '후춧가루', '마늘', '소금', '방울토마토', '육수', '설탕', '올리브오일', '토마토', '레몬즙', '브로컬리', '월계수잎']"
닭고기또띠아,"또띠아(50g), 닭고기살(100g), 느타리버섯(20g), 사과(20g)
오이(20g), 파프리카(20g), 애호박(20g), 양파(20g), 식초(10g)
- 소스 : 아몬드(10g), 우유(20g), 머스터드(20g), 올리고당(20g)","['사과', '양파', '아몬드', '오이', '머스터드', '식초', '올리고당', '애호박', '파프리카', '또띠아', '우유', '느타리버섯', '닭고기살']"
닭고기스테이크,"닭고기살(120g), 소금(0.5g), 후춧가루(0.1g), 생강(5g)
정종(5g), 우유(50g), 오이(20g), 토마토(20g)
두부(80g), 흑임자(20g), 우유(50g)","['두부', '오이', '생강', '정종', '후춧가루', '소금', '토마토', '흑임자', '우유', '닭고기살']"
오징어순대,"통오징어(100g), 양파(20g), 당근(20g), 부추(20g)
견과류(20g), 두부(50g), 대파(10g), 마늘(10g), 소금(0.5g)
녹말가루(10g), 정종(10g), 레몬(10g), 생강(5g)","['양파', '당근', '두부', '생강', '정종', '레몬', '부추', '녹말가루', '견과류', '마늘', '소금', '통오징어', '대파']"
연어차우더스프,"모시조개(50g), 연어(100g), 청피망(20g), 당근(20g)
양파(20g), 감자(50g), 밀가루(10g), 버터(5g), 육수(200g)
월계수잎(1장), 통후추(3알), 생크림(30g), 통마늘(10g)","['당근', '양파', '통마늘', '밀가루', '버터', '청피망', '모시조개', '통후추', '감자', '육수', '생크림', '월계수잎', '연어']"
시금치브로컬리 파스타,"새우(대하, 3마리), 스파게티(100g), 시금치(30g),
브로콜리(50g), 바질(10g), 생크림(50g), 올리브오일(10g),
소금 (0.2g)","['마리', '바질', '시금치', '소금', '올리브오일', '스파게티', '생크림', '브로콜리', '새우대하']"
야채찜을 곁들인 광어스테이크,"광어(1마리), 당근(30g), 단호박(30g), 가지(1/2개),
파프리카(50g), 콜리플라워(50g), 레몬(1/4개), 와사비(5g),
발사믹소스(50g), 저염간장(30g), 청주(15g)","['당근', '단호박', '레몬', '광어', '가지', '와사비', '저염간장', '콜리플라워', '파프리카', '청주']"
연근부각,"연근(60g), 식초(10g), 천일염(0.1g), 계피가루(20g),
식용유(200g)","['식용유', '연근', '천일염', '계피가루', '식초']"
오이냉국을 곁들인 오색쌈밥,"돼지고기(안심, 100g), 쌀(200g), 도라지(30g), 애호박(1/2개),
양파(30g), 홍고추(1개), 미나리(20g), 오이(50g), 청포묵(20g),
쌈무(20g), 달걀(1개), 라이스페이퍼(5장), 고추장(20g),
소금(0.3g), 참기름(5g), 고춧가루(10g)","['양파', '홍고추', '오이', '라이스페이퍼', '달걀', '고추장', '돼지고기안심', '도라지', '소금', '참기름', '미나리', '청포묵', '애호박', '쌈무', '고춧가루']"
카레탄두리치킨과 닭가슴살냉채,"닭고기(1마리), 오곡(50g), 인삼(1뿌리), 대추(3알),
아스파라거스(3개), 당근(20g), 양파(30g), 오이(50g),
파프리카(50g), 카레가루(20g), 디종머스터드(30g)","['아스파라거스', '당근', '양파', '오이', '인삼', '오곡', '디종머스터드', '닭고기', '파프리카', '카레가루', '대추']"
컬리플라워소스 광어스테이크,"광어(1마리), 콜리플라워(50g), 감자(30g), 양파(20g),
시금치(20g), 가지(1/2개), 단호박(1/4개), 당근(30g),
우유(200g), 소금(0.2g), 후춧가루(0.01g)","['양파', '당근', '단호박', '광어', '후춧가루', '가지', '시금치', '소금', '감자', '콜리플라워', '우유']"
콜라비오미자 물김치,"콜라비(1/2개), 오미자(20g), 무화과(20g), 파프리카(50g),
피망(30g), 쪽파(10g), 양파(30g), 건새우(10g), 다시마(10g),
소금(0.3g)","['콜라비', '양파', '무화과', '쪽파', '피망', '다시마', '소금', '파프리카', '오미자', '건새우']"
크림소스치킨롤,"닭고기(가슴살, 150g), 새우(대하, 3마리), 베이컨(20g),
마늘(20g), 바질(5g), 아스파라거스(3개), 새송이버섯(1개),
치즈(1장), 버터(10g), 소금(0.2g), 후춧가루(0.01g)","['아스파라거스', '베이컨', '마리', '버터', '바질', '치즈', '후춧가루', '마늘', '소금', '새송이버섯', '새우대하', '닭고기가슴살']"
표고버섯 감자찜,"표고버섯(3개), 감자(200g), 고수(10g), 당근(30g), 양파(30g),
홍고추(1개), 녹말(20g)","['당근', '표고버섯', '양파', '녹말', '홍고추', '고수', '감자']"
해물애호박 전병말이,"새우(3마리), 오징어(50g), 애호박(1/2개), 당근(20g),
깻잎(3장), 대추(2알), 밀가루(100g), 찹쌀가루(50g),
저염간장(20g), 식초(10g), 설탕(10g), 소금(0.2g)","['당근', '밀가루', '오징어', '깻잎', '저염간장', '소금', '새우', '설탕', '애호박', '식초', '대추', '찹쌀가루']"
찬밥이용닭죽,"찬밥 60g, 닭다리살 80g, 감자 30g, 통마늘 15g, 양파 10g, 당근 8g, 부추 5g, 물 700g, 소금 0.75g, 후춧가루 0.3g","['양파', '당근', '닭다리살', '부추', '후춧가루', '찬밥', '소금', '감자', '통마늘']"
감자느타리버섯국,"감자 30g, 느타리버섯 15g, 두부 8g, 파 5g, 물 300g, 국멸치 5g, 홍고추 3g, 건다시마 3g, 다진 마늘 3g, 소금 0.5g","['두부', '홍고추', '건다시마', '다진마늘', '국멸치', '소금', '감자', '느타리버섯']"
민어매운탕,"- 주재료 : 민어 50g, 쇠고기 양지15g, 다진 마늘 1.25g, 후추 0.25g, 참기름 0.5g, 무 40g, 애호박 20g, 애느타리버섯 20g, 풋 고추 5g, 홍고추 2.5g, 쑥갓 10g, 대파 5g, 생강즙 0.5g, 물 300g, 소금 0.5g - 양념장 : 간 홍고추 10g, 간 양파 10g, 다진 마늘 2g, 국간장 2.5g, 간장 2.5g, 맛술 5g, 굵은 고춧가루 5g, 고운 고춧가루 1.25g","['홍고추', '굵은고춧가루', '생강즙', '참기름', '간장', '대파', '간양파', '민어', '애느타리버섯', '맛술', '국간장', '애호박', '고운고춧가루', '쇠고기양지', '소금간홍고추', '다진마늘', '쑥갓', '후추', '풋고추']"
아몬드치킨볼,"재료 양송이버섯(5g), 버터(10g), 닭다리살(30g), 닭가슴살(50g), 아몬드(5g)
밀가루(10g), 우유(50g), 들깻가루(30g), 브로콜리(15g), 마늘(10g)
육수 닭뼈(90g), 양파(10g), 양송이버섯 밑동(5g), 마늘(5g)","['재료양송이버섯', '양파', '양송이버섯밑동', '버터', '밀가루', '닭다리살', '브로콜리', '마늘', '들깻가루', '닭가슴살', '육수닭뼈', '우유', '아몬드']"
양배추롤,"재료 현미(50g), 멥쌀(50g), 다시마(2g), 새우가루(15g), 양배추(50g)
얇게 썬 쇠고기(부채살, 80g), 송송 썬 붉은 고추(5g)
달래무침 달래(10g), 간장(10g), 참기름(5g)","['새우가루', '다시마', '양배추', '송송썬붉은고추', '달래무침달래', '멥쌀', '참기름', '재료현미', '간장', '얇게썬쇠고기부채살']"
생선베이컨말이,"재료 피망(5g), 파프리카(10g), 시금치(15g), 저염베이컨(60g)
동태포(30g), 저염버터(10g), 생크림(10g), 새싹채소(0.1g)","['저염베이컨', '재료피망', '저염버터', '동태포', '새싹채소', '시금치', '파프리카', '생크림']"
콩고기샐러드,"재료 콩고기(30g), 아보카도(10g), 바나나(10g), 가지(10g)
연근(10g), 방울토마토(10g), 만두피(20g)
저염간장양념 저염간장(2.5g), 물(25g), 설탕(3g)
허브오일드레싱 저염소금(1g), 식초(5g), 로즈마리(1g), 통후추(1g)
올리브유(15g), 꿀(5g)","['만두피', '올리브유', '아보카도', '저염간장양념저염간장', '연근', '가지', '재료콩고기', '로즈마리', '통후추', '방울토마토', '설탕', '식초', '바나나']"
퀴노아닭가슴살샐러드,"재료 수박껍질(17g), 토마토(17g), 닭가슴살(80g), 감자(27g), 가지(17g)
양파(17g), 피망(34g), 아스파라거스(30g), 퀴노아(8g), 리코타치즈(5g)
양상추(9g), 플레인 요구르트(25g), 어린잎채소(1g)
복분자소스 복분자(50g), 레몬즙(10g)","['아스파라거스', '양파', '퀴노아', '피망', '양상추', '가지', '어린잎채소', '감자', '플레인요구르트', '재료수박껍질', '닭가슴살', '리코타치즈', '토마토', '레몬즙']"
바나나크림파스타,"재료 바나나(150g), 아보카도(110g), 토마토(100g), 저염베이컨(46g, 3장)
바질가루(1g), 마늘(10g), 양파(20g), 휘핑크림(80g), 저염치즈(40g)
우유(200g), 소금(2g), 스파게티면(60g)","['양파', '스파게티면', '재료바나나', '저염베이컨', '우유', '저염치즈', '아보카도', '마늘', '소금', '휘핑크림', '토마토', '바질가루']"
산채쌀파스타,"재료 신선초(3g), 참나물(3g), 취나물(3g), 적겨자(3g), 깻잎(2g), 양파(8g)
오이(6g), 붉은 고추(5g), 풋고추(5g), 쌀파스타면(160g)
파스타소스 된장(4g), 청국장(16g), 양파(15g), 애호박(10g), 으깬 두부(25g)
다진 마늘(10g), 들기름(3g)","['적겨자', '양파', '으깬두부', '오이', '깻잎', '다진마늘', '붉은고추', '청국장', '참나물', '들기름', '재료신선초', '애호박', '풋고추', '쌀파스타면', '취나물']"
황태포당면국수,"재료 감자(80g), 양파(15g), 당근(10g), 대파(5g), 청양고추(3g), 팽이버섯(20g)
달걀(30g), 당면(70g), 쑥갓(5g)
육수 멸치(2g), 황태포(10g)
양념 다진 마늘(1g), 저염간장(2g), 소금(0.6g), 후춧가루(0.5g)","['양파', '당근', '팽이버섯', '달걀', '육수멸치', '황태포', '후춧가루', '쑥갓', '저염간장', '청양고추', '소금', '재료감자', '대파', '당면', '양념다진마늘']"
닭갈비볶음면,"재료 마늘(20g), 깻잎(2g), 쪽파(1g), 파프리카(60g), 양파(40g), 대파(10g)
방울토마토(50g), 닭가슴살(30g), 이태리시즈닝(1g), 라면(110g)
양념 카레가루(2g), 고춧가루(1g), 고추장(10g), 참기름(2g)","['양념카레가루', '양파', '쪽파', '재료마늘', '깻잎', '고추장', '라면', '방울토마토', '참기름', '닭가슴살', '이태리시즈닝', '파프리카', '대파', '고춧가루']"
오색볶음면,"재료 양파(40g), 청경채(30g), 두 가지 색 파프리카(각 15g씩)
쪽파(15g), 라면(60g), 채 썬 돼지고기(30g)
양념 다진 마늘(7g), 고추기름(5g), 설탕(4g), 두반장(8g), 라면스프(3g)","['두가지색파프리카', '두반장', '고추기름', '청경채', '쪽파', '채썬돼지고기', '라면스프', '재료양파', '설탕', '라면', '양념다진마늘']"
로제소스라면,"재료 새우(10g), 조개(20g), 홍합(20g), 새송이버섯(15g), 양파(8g)
토마토(100g), 라면(50g), 우유(200g), 생크림(100g), 월계수잎(5g)
정향(5g), 파르메산 치즈가루(5g), 파슬리가루(8g)","['양파', '조개', '홍합', '파슬리가루', '정향', '파르메산치즈가루', '재료새우', '새송이버섯', '라면', '토마토', '생크림', '우유', '월계수잎']"
라면월남쌈튀김,"재료 라면(20g), 배(12g), 파인애플(15g), 파프리카(10g), 쇠고기(우둔살, 20g)
레드와인(20g), 매실청(20g), 라이스페이퍼(8g), 달걀(30g)
빵가루(25g), 어린잎채소(10g)
쇠고기 양념장 생강즙(1g), 저염간장(15g), 물(26g)
다진 양파(10g), 다진 파(5g), 다진 마늘(5g)","['재료라면', '다진양파', '라이스페이퍼', '달걀', '빵가루', '다진마늘', '어린잎채소', '저염간장', '레드와인', '파인애플', '다진파', '파프리카', '매실청', '쇠고기우둔살']"
삼겹살라면,"재료 라면(100g), 쪽파(3g)
육수 돼지고기(삼겹살, 60g), 대파(20g), 얇게 썬 생강(5g), 가다랑어포(3g)
조림양념 저염간장(3g), 맛술(8g), 흑설탕(3g)","['재료라면', '조림양념저염간장', '흑설탕', '육수돼지고기삼겹살', '가다랑어포', '쪽파', '맛술', '얇게썬생강', '대파']"
유자샐러드라면,"재료 라면(55g), 양상추(40g), 케일(5g), 파프리카(20g), 비타민(5g)
유자드레싱 식초(2g), 레몬즙(5g), 유자청(15g), 올리브유(1g)","['재료라면', '양상추', '올리브유', '케일', '비타민', '파프리카', '레몬즙', '유자청']"
주꾸미머리순대,"주꾸미 200g, 미나리 20g, 양파 25g, 당근 20g, 계란 60g
다진마늘 15g, 생강청 15g, 레몬즙 10g
소스 : 고추장 15g, 레몬즙 10g, 생강청 10g, 통깨 3g","['당근', '양파', '레몬즙', '통깨', '다진마늘', '미나리', '생강청', '계란', '주꾸미']"
매실동치미,"무 50g, 연근 25g, 사과 25g, 배 30g, 함초소금 2g
국물 : 매실청 30g, 생강청 15g, 함초소금 1g, 청양고추 10g","['함초소금', '사과', '국물매실청', '연근', '청양고추', '생강청']"
조기까스,"조기 1마리(250g), 허브크러스트 100g, 흰 후추 1g, 화이트와인 15g, 마늘오일 15g, 전분 15g
소스 : 고추장 15g, 저염간장 15g, 화이트와인 15g, 버터 5g
다진양파 15g, 흰후추 1g, 마늘오일 15g","['다진양파', '버터', '흰후추', '허브크러스트', '전분', '저염간장', '화이트와인', '마늘오일', '조기마리']"
돼지머리수육맑은전골,"돼지머리 200g, 우동면 100g, 미나리 20g, 청고추 15g
소스 : 일본 된장 30g, 다진마늘 10g, 다진대파 10g, 청주 15g, 무 25g
육수 : 해물육수 300g, 청양고추 20g, 맛간장 15g","['청고추', '맛간장', '우동면', '돼지머리', '육수해물육수', '다진마늘', '다진대파', '청양고추', '미나리', '청주']"
파인애플볶음밥,"밥 150g, 칵테일새우 50g, 파인애플 통조림 100g, 양파 60g, 청고추 15g
노란파프리카 20g, 빨간파프리카 20g, 마늘 15g, 계란 60g, 마늘기름 30g
흰후추 1g, 레몬소금 1g, 맛간장 15g, 통깨 10g","['양파', '청고추', '빨간파프리카', '파인애플통조림', '맛간장', '통깨', '흰후추', '레몬소금', '마늘', '노란파프리카', '칵테일새우', '계란', '마늘기름']"
연근초무침,"연근 200g, 양파 60g, 오이 40g, 밤 60g
소스 : 유자청 25g, 강황가루 2g, 잣 2g, 설탕 5g, 식초 15g","['양파', '강황가루', '오이', '연근', '설탕', '식초']"
코다리맑은찜,"코다리 250g, 콩나물 50g, 미나리 20g, 함초 25g, 무 30g, 함초소금 1g
양념 : 간편어간장 15g, 함초소금 1g, 생강청 15g, 흰후추 1g, 청주 15g
레몬즙 5g, 다진마늘 15g, 연겨자 7g, 통깨 10g","['함초소금', '청주', '레몬즙', '통깨', '흰후추', '함초', '다진마늘', '코다리', '연겨자', '미나리', '콩나물', '생강청', '양념간편어간장']"
